#TYPE System.Management.Automation.PSCustomObject
"ScheduleName","Reboot","OS","DayofWeek","TagName","TagValue","StartTime","DaysofWeekOccurrence"
"3rd Wednesday UTC8 - Windows Update","IfRequired","Windows","Wednesday","UpdateWindow","WED3UTC8","08:00","Third"
"3rd Wednesday UTC8 - Linux Update","IfRequired","Linux","Wednesday","UpdateWindow","WED3UTC8","08:00","Third"
"1st Wednesday UTC16 - Windows Update","IfRequired","Windows","Wednesday","UpdateWindow","WED1UTC16","16:00","First"
"1st Wednesday UTC16 - Linux Update","IfRequired","Linux","Wednesday","UpdateWindow","WED1UTC16","16:00","First"
"2nd Wednesday UTC16 - Windows Update","IfRequired","Windows","Wednesday","UpdateWindow","WED2UTC16","16:00","Second"
"2nd Wednesday UTC16 - Linux Update","IfRequired","Linux","Wednesday","UpdateWindow","WED2UTC16","16:00","Second"
"3rd Wednesday UTC16 - Windows Update","IfRequired","Windows","Wednesday","UpdateWindow","WED3UTC16","16:00","Third"
"3rd Wednesday UTC16 - Linux Update","IfRequired","Linux","Wednesday","UpdateWindow","WED3UTC16","16:00","Third"
"1st Thursday UTC0 - Windows Update","IfRequired","Windows","Thursday","UpdateWindow","THU1UTC0","00:00","First"
"1st Thursday UTC0 - Linux Update","IfRequired","Linux","Thursday","UpdateWindow","THU1UTC0","00:00","First"
"2nd Thursday UTC0 - Windows Update","IfRequired","Windows","Thursday","UpdateWindow","THU2UTC0","00:00","Second"
"2nd Thursday UTC0 - Linux Update","IfRequired","Linux","Thursday","UpdateWindow","THU2UTC0","00:00","Second"
"3rd Thursday UTC0 - Windows Update","IfRequired","Windows","Thursday","UpdateWindow","THU3UTC0","00:00","Third"
"3rd Thursday UTC0 - Linux Update","IfRequired","Linux","Thursday","UpdateWindow","THU3UTC0","00:00","Third"
"1st Thursday UTC8 - Windows Update","IfRequired","Windows","Thursday","UpdateWindow","THU1UTC8","08:00","First"
"1st Thursday UTC8 - Linux Update","IfRequired","Linux","Thursday","UpdateWindow","THU1UTC8","08:00","First"
"2nd Thursday UTC8 - Windows Update","IfRequired","Windows","Thursday","UpdateWindow","THU2UTC8","08:00","Second"
"2nd Thursday UTC8 - Linux Update","IfRequired","Linux","Thursday","UpdateWindow","THU2UTC8","08:00","Second"
"3rd Thursday UTC8 - Windows Update","IfRequired","Windows","Thursday","UpdateWindow","THU3UTC8","08:00","Third"
